sleep_s,test_case,producers,consumers,elapsed_s,produced,consumed,throughput
0.00001,1,1,1,.009766000,0,0,0
0.00001,2,4,1,.005514000,123,37,323206
0.00001,3,16,1,.005588000,177,1,4313.45
0.00001,4,1,2,.005207000,0,0,0
0.00001,5,4,2,.004742000,1,1,27164.7
0.00001,6,16,2,.005505000,275,5,15965.9
0.00001,7,1,4,.004762000,0,10,191529
0.00001,8,4,4,.005183000,93,46,324790
0.00001,9,16,4,.005978000,456,45,116566
0.00001,10,1,16,.005641000,59,357,1.29913e+06
0.00001,11,4,16,.005365000,149,234,718747
0.00001,12,16,16,.006456000,334,186,443228
0.00002,1,1,1,.005655000,0,0,0
0.00002,2,4,1,.005803000,46,17,125422
0.00002,3,16,1,.008006000,296,24,74844.2
0.00002,4,1,2,.007567000,39,10,165899
0.00002,5,4,2,.007464000,9,16,202080
0.00002,6,16,2,.007160000,284,10,35216.5
0.00002,7,1,4,.005649000,54,118,950192
0.00002,8,4,4,.009199000,65,60,441331
0.00002,9,16,4,.006308000,688,73,148650
0.00002,10,1,16,.005142000,26,273,1.00118e+06
0.00002,11,4,16,.005377000,222,211,543079
0.00002,12,16,16,.006606000,531,184,319230
0.00003,1,1,1,.005195000,26,32,469146
0.00003,2,4,1,.004920000,88,19,152051
0.00003,3,16,1,.005725000,427,3,10030.6
0.00003,4,1,2,.005718000,61,122,1.67798e+06
0.00003,5,4,2,.005929000,30,23,217237
0.00003,6,16,2,.005499000,481,35,94435.1
